country,title,source,published,negative,neutral,positive,compound,sentiment_label,date
Russia,"Central Bank of Russia challenges EU over frozen assets in court, raising questions about institutional trust",Crypto Briefing,2026-06-01 16:16:23+00:00,0.042,0.727,0.231,0.8271,POSITIVE,2026-06-01
Russia,EU May Keep Russian Oil Price Cap Unchanged at $44 Per Barrel to Pressure Moscow,Insurance Journal,2026-06-01 15:32:16+00:00,0.193,0.807,0.0,-0.9081,NEGATIVE,2026-06-01
Iran,"Iran halts US negotiations over Israeli attacks, threatens to close Strait of Hormuz",Crypto Briefing,2026-06-01 15:13:43+00:00,0.275,0.691,0.034,-0.9325,NEGATIVE,2026-06-01
Iran,Inside The Iran Deal That May Change Nothing — But Could Smash Oil Prices Anyway,OilPrice.com,2026-06-01 15:00:00+00:00,0.105,0.895,0.0,-0.7351,NEGATIVE,2026-06-01
Russia,Ukrainian Tennis Player Oliynykova Demands Sanctions on Russian Opponent Shnaider Over Gazprom Ties,Ibtimes.com.au,2026-06-01 14:46:59+00:00,0.129,0.805,0.067,-0.4019,NEGATIVE,2026-06-01
Iran,Iran suspends negotiations with US via mediators,RTE,2026-06-01 14:32:47+00:00,0.091,0.843,0.066,-0.2732,NEGATIVE,2026-06-01
Russia,Can War Between Europe and Moscow Be Avoided? Russia’s “1941” Warning,Globalresearch.ca,2026-06-01 14:22:28+00:00,0.223,0.709,0.067,-0.8402,NEGATIVE,2026-06-01
Iran,News24 | Iran warns US: Lebanon ceasefire is non-negotiable as Middle East tensions spiral,News24,2026-06-01 14:06:28+00:00,0.164,0.779,0.057,-0.6369,NEGATIVE,2026-06-01
Iran,US oil prices jump 8% to $94 as Iran ends talks with US,Crypto Briefing,2026-06-01 14:00:50+00:00,0.049,0.912,0.038,-0.1531,NEGATIVE,2026-06-01
Russia,Russian Drone Strike in Romania Injures Civilians Near NATO Border,Military.com,2026-06-01 13:42:25+00:00,0.12,0.822,0.058,-0.2023,NEGATIVE,2026-06-01
Russia,Image Shows Russia Fielded a New A-50U Airborne Early Warning Aircraft,Theaviationist.com,2026-06-01 13:35:58+00:00,0.133,0.867,0.0,-0.7906,NEGATIVE,2026-06-01
China,"Canada, Netherlands Engage in Naval Standoffs with China, On Behalf of Washington? The Taiwan Strait, the East and South China Seas",Globalresearch.ca,2026-06-01 13:16:57+00:00,0.0,0.928,0.072,0.5994,POSITIVE,2026-06-01
Russia,Ukraine’s forcibly transferred children must not be a bargaining chip,Al Jazeera English,2026-06-01 12:39:41+00:00,0.092,0.852,0.056,-0.2484,NEGATIVE,2026-06-01
Russia,France Busts Tanker in Russia's 'Shadow Fleet',Newser,2026-06-01 12:32:39+00:00,0.0,0.805,0.195,0.8555,POSITIVE,2026-06-01
Iran,"Kallas Urges 'Deeper Talks' About Iran's Missiles, Nuclear Stockpiles",Radio Free Europe/ Radio Liberty,2026-06-01 12:31:22+00:00,0.046,0.763,0.191,0.802,POSITIVE,2026-06-01
China,Plexus Issues Fiscal 2025 Sustainability Report and Announces Transition to Absolute Emission Reduction Targets,GlobeNewswire,2026-06-01 12:30:00+00:00,0.0,0.967,0.033,0.2023,POSITIVE,2026-06-01
Russia,France intercepts sanctioned tanker Tagor linked to Russian oil trade,Crypto Briefing,2026-06-01 12:28:39+00:00,0.0,0.953,0.047,0.2732,POSITIVE,2026-06-01
Iran,"Expected Iran Deal Comes With Difficult Choices, Says Geopolitical Strategist Tina Fordham",Globalsecurity.org,2026-06-01 12:00:00+00:00,0.181,0.768,0.051,-0.6808,NEGATIVE,2026-06-01
Iran,"Kallas Urges 'Deeper Talks' About Iran's Missiles, Nuclear Stockpiles",Globalsecurity.org,2026-06-01 12:00:00+00:00,0.046,0.763,0.191,0.802,POSITIVE,2026-06-01
Iran,Tehran Accuses US Of 'Contradictory Demands' Amid New Round Of Attacks,Globalsecurity.org,2026-06-01 12:00:00+00:00,0.306,0.543,0.151,-0.7845,NEGATIVE,2026-06-01
Russia,"Expected Iran Deal Comes With Difficult Choices, Says Geopolitical Strategist Tina Fordham",Globalsecurity.org,2026-06-01 12:00:00+00:00,0.181,0.768,0.051,-0.6808,NEGATIVE,2026-06-01
Russia,"France, partners intercept Russian oil tanker",Hurriyet Daily News,2026-06-01 10:57:29+00:00,0.116,0.884,0.0,-0.5574,NEGATIVE,2026-06-01
Iran,Iran War: Iran Rejects Trump Claims That Deal Is Near as US Counterproductively Toughens Terms; Hotter Tit-for-Tat Strikes Threaten Ceasefire; What if Trump Continues to Stall When Hitting Energy Cliff ?,Nakedcapitalism.com,2026-06-01 10:54:37+00:00,0.326,0.584,0.09,-0.9498,NEGATIVE,2026-06-01
Iran,Oil Prices Up 3% As Trump Demands Changes To Iran Deal,OilPrice.com,2026-06-01 10:32:26+00:00,0.059,0.797,0.144,0.6486,POSITIVE,2026-06-01
Russia,Kremlin slams French seizure of tanker as 'illegal',RTE,2026-06-01 10:30:50+00:00,0.224,0.776,0.0,-0.8934,NEGATIVE,2026-06-01
Russia,"French navy, backed by the UK, intercepts Russian oil tanker",Al Jazeera English,2026-06-01 10:24:51+00:00,0.0,0.958,0.042,0.0258,NEUTRAL,2026-06-01
Iran,"Expected Iran Deal Comes With Difficult Choices, Says Geopolitical Strategist Tina Fordham",Radio Free Europe/ Radio Liberty,2026-06-01 10:20:11+00:00,0.051,0.949,0.0,-0.3612,NEGATIVE,2026-06-01
Russia,"Expected Iran Deal Comes With Difficult Choices, Says Geopolitical Strategist Tina Fordham",Radio Free Europe/ Radio Liberty,2026-06-01 10:20:11+00:00,0.051,0.949,0.0,-0.3612,NEGATIVE,2026-06-01
Russia,Moment French forces backed by UK board suspected Russian oil 'shadow fleet' tanker in Atlantic,Dailymail.com,2026-06-01 10:17:51+00:00,0.134,0.844,0.023,-0.6597,NEGATIVE,2026-06-01
Russia,"France intercepts sanctioned Russian oil tanker, Macron says",BBC News,2026-06-01 10:07:34+00:00,0.0,0.895,0.105,0.4019,POSITIVE,2026-06-01
Iran,Tehran Accuses US Of 'Contradictory Demands' Amid New Round Of Attacks,Radio Free Europe/ Radio Liberty,2026-06-01 09:49:15+00:00,0.233,0.55,0.217,-0.25,NEGATIVE,2026-06-01
Russia,French navy intercepts Russia-linked oil tanker,The Punch,2026-06-01 09:36:05+00:00,0.2,0.8,0.0,-0.7184,NEGATIVE,2026-06-01
Russia,French forces have seized another tanker from the Russian shadow fleet,Protothema.gr,2026-06-01 09:32:51+00:00,0.165,0.835,0.0,-0.8779,NEGATIVE,2026-06-01
Russia,French Navy Seizes Russia-Linked Tanker in the Atlantic,OilPrice.com,2026-06-01 09:30:00+00:00,0.0,1.0,0.0,0.0,NEUTRAL,2026-06-01
Iran,U.S. bombs Iranian military sites as Kuwait hit by drone and missile fire,CBC News,2026-06-01 09:27:47+00:00,0.196,0.804,0.0,-0.8807,NEGATIVE,2026-06-01
Russia,"Macron says French Navy, backed by the UK, intercepted a sanctioned tanker from Russia",New York Post,2026-06-01 09:07:10+00:00,0.0,0.81,0.19,0.8591,POSITIVE,2026-06-01
Iran,"'Every choice has a price, and the bill comes due': Iran's Ghalibaf warns US over ceasefire violations",The Times of India,2026-06-01 09:03:30+00:00,0.169,0.803,0.029,-0.8271,NEGATIVE,2026-06-01
North Korea,Why China keeps North Korea's economy alive,DW (English),2026-06-01 08:38:00+00:00,0.0,0.915,0.085,0.3818,POSITIVE,2026-06-01
Russia,Why China keeps North Korea's economy alive,DW (English),2026-06-01 08:38:00+00:00,0.0,0.915,0.085,0.3818,POSITIVE,2026-06-01
North Korea,How China keeps North Korea's economy alive,DW (English),2026-06-01 08:38:00+00:00,0.091,0.865,0.043,-0.4391,NEGATIVE,2026-06-01
Russia,How China keeps North Korea's economy alive,DW (English),2026-06-01 08:38:00+00:00,0.091,0.865,0.043,-0.4391,NEGATIVE,2026-06-01
Iran,US Strikes Iranian Radar Sites as Kuwait Reports Drone and Missile Fire in Escalating Conflict,Ibtimes.com.au,2026-06-01 08:24:55+00:00,0.261,0.695,0.044,-0.8519,NEGATIVE,2026-06-01
Russia,"Macron says French Navy, backed by the UK, intercepted a sanctioned tanker from Russia",Yahoo Entertainment,2026-06-01 08:19:03+00:00,0.0,0.841,0.159,0.6808,POSITIVE,2026-06-01
Russia,Putin's 'unstoppable' hypersonic missile 'strikes RUSSIAN targets in humiliating blunder',Dailymail.com,2026-06-01 08:18:57+00:00,0.397,0.603,0.0,-0.8591,NEGATIVE,2026-06-01
Russia,"French Navy seizes Russia-linked oil tanker in high seas, Macron says",NBC News,2026-06-01 07:56:28+00:00,0.0,1.0,0.0,0.0,NEUTRAL,2026-06-01
Russia,France intercepts Russian-linked oil tanker in Atlantic,DW (English),2026-06-01 07:54:00+00:00,0.0,1.0,0.0,0.0,NEUTRAL,2026-06-01
Russia,Fences Not F-35s: Drone Attacks and the Illogic of Gulf Procurement,War on the Rocks,2026-06-01 07:30:07+00:00,0.152,0.761,0.087,-0.6598,NEGATIVE,2026-06-01
Russia,Deterring Russia Beneath the Waves: Securing NATO’s Critical Undersea Infrastructure,War on the Rocks,2026-06-01 07:15:28+00:00,0.127,0.844,0.029,-0.6808,NEGATIVE,2026-06-01
Iran,Deterring Russia Beneath the Waves: Securing NATO’s Critical Undersea Infrastructure,War on the Rocks,2026-06-01 07:15:28+00:00,0.127,0.844,0.029,-0.6808,NEGATIVE,2026-06-01
Iran,"News24 | Trump slams ‘unpatriotic Republicans’ as US, Iran exchange tit-for-tat fire",News24,2026-06-01 07:10:08+00:00,0.203,0.797,0.0,-0.8807,NEGATIVE,2026-06-01
Iran,Iran attacks US base after Trump insisted Tehran wants a deal and told his critics to stop 'chirping',Dailymail.com,2026-06-01 06:41:12+00:00,0.206,0.794,0.0,-0.7783,NEGATIVE,2026-06-01
Iran,"US says it struck Iranian military sites, Kuwait reports drone and missile attacks",The Irish Times,2026-06-01 06:32:41+00:00,0.27,0.73,0.0,-0.8402,NEGATIVE,2026-06-01
Russia,How Donald Trump's Ukraine aid cuts undermine justice for Russian war crimes,The Times of India,2026-06-01 06:32:32+00:00,0.267,0.609,0.124,-0.7311,NEGATIVE,2026-06-01
Iran,Iran and US both say they targeted the other's military,ABC News (AU),2026-06-01 06:29:28+00:00,0.065,0.844,0.091,0.2023,POSITIVE,2026-06-01
Iran,"US strikes Iranian military sites, Tehran hits air base",RTE,2026-06-01 06:25:45+00:00,0.216,0.784,0.0,-0.8834,NEGATIVE,2026-06-01
Russia,"France boards oil tanker Tagor in Atlantic, escalating crackdown on Russia’s shadow fleet",Crypto Briefing,2026-06-01 06:07:48+00:00,0.083,0.87,0.046,-0.2263,NEGATIVE,2026-06-01
Iran,The $6 Billion Strait: Trump’s Final Gambit for Iran Peace or a Pathway to Armageddon?,Naturalnews.com,2026-06-01 06:00:00+00:00,0.042,0.844,0.114,0.6597,POSITIVE,2026-06-01
China,Markets in limbo as US–Iran uncertainty clouds global outlook: Geoff Dennis,The Times of India,2026-06-01 05:59:09+00:00,0.187,0.768,0.044,-0.7385,NEGATIVE,2026-06-01
Iran,"'Iran really wants to a make deal,' says Trump again; attacks Democrats for 'negatively' affecting talks",The Times of India,2026-06-01 05:31:57+00:00,0.088,0.828,0.084,-0.0516,NEGATIVE,2026-06-01
Iran,"Report: Trump Sends Tougher Iran Proposal Back to Tehran, Demands Stricter Nuclear, Hormuz Terms",Breitbart News,2026-06-01 05:23:23+00:00,0.0,0.875,0.125,0.7165,POSITIVE,2026-06-01
Iran,"U.S. Says It Struck Iranian Military Sites, Tehran Responds With Air Base Attack",HuffPost,2026-06-01 04:50:09+00:00,0.265,0.735,0.0,-0.8402,NEGATIVE,2026-06-01
China,Asia's factory output expands as firms stockpile buffers over Iran war risks,The Times of India,2026-06-01 04:23:35+00:00,0.178,0.732,0.09,-0.743,NEGATIVE,2026-06-01
Iran,"US says it struck Iranian military sites, Tehran responds with air base attack",Yahoo Entertainment,2026-06-01 04:19:39+00:00,0.157,0.843,0.0,-0.7269,NEGATIVE,2026-06-01
Iran,Trump seeks more changes to proposed Iran ceasefire and nuclear deal,BusinessLine,2026-06-01 02:18:00+00:00,0.0,1.0,0.0,0.0,NEUTRAL,2026-06-01
Iran,"Trump seeks fresh changes to Iran deal; draft includes Hormuz reopening, nuclear curbs: Report",The Times of India,2026-06-01 02:16:31+00:00,0.023,0.889,0.089,0.6249,POSITIVE,2026-06-01
Iran,"Macron demands quick US-Iran deal, unconditional reopening of Strait of Hormuz",Israelnationalnews.com,2026-06-01 02:09:09+00:00,0.0,0.938,0.062,0.2023,POSITIVE,2026-06-01
Iran,Trump blasts CNN over report claiming Iran agreement lacks nuclear provisions,Israelnationalnews.com,2026-06-01 01:53:19+00:00,0.0,0.873,0.127,0.4939,POSITIVE,2026-06-01
Iran,"Red Lines and Edits: Trump seeks further changes to US-Iran deal, no final decision after White House meeting",The Indian Express,2026-06-01 00:45:10+00:00,0.171,0.829,0.0,-0.6369,NEGATIVE,2026-06-01
Iran,Israeli Claims About an Iran ‘Threat’ Were Always a Lie. Now We Have Proof,Antiwar.com,2026-06-01 00:00:38+00:00,0.234,0.766,0.0,-0.9501,NEGATIVE,2026-06-01
China,"Scholars Explore Central Bank Independence, Structure and Future Risk at Hoover Monetary Policy Conference",Hoover.org,2026-06-01 00:00:00+00:00,0.077,0.923,0.0,-0.4939,NEGATIVE,2026-06-01
China,Beijing Trip Report,Substack.com,2026-06-01 00:00:00+00:00,0.0,0.905,0.095,0.2263,POSITIVE,2026-06-01
Russia,Beijing Trip Report,Substack.com,2026-06-01 00:00:00+00:00,0.0,0.905,0.095,0.2263,POSITIVE,2026-06-01
Iran,"Trump sends amended peace plan back to Iran with tough stance on nuclear materials, Hormuz: reports",New York Post,2026-05-31 22:50:20+00:00,0.093,0.82,0.086,0.128,POSITIVE,2026-05-31
Russia,Ukrainian drones strike oil pumping station 800 miles into Russian territory,Dailymail.com,2026-05-31 22:48:16+00:00,0.046,0.954,0.0,-0.128,NEGATIVE,2026-05-31
Iran,Oil Rises From Six-Week Low Amid Uncertainty Over US-Iran Deal,Financial Post,2026-05-31 22:44:49+00:00,0.312,0.604,0.085,-0.8126,NEGATIVE,2026-05-31
Iran,Report: Iran readying fresh revisions to US deal,Israelnationalnews.com,2026-05-31 21:13:18+00:00,0.22,0.673,0.108,-0.7184,NEGATIVE,2026-05-31
Iran,Don’t repeat Afghanistan in Iran,Wnd.com,2026-05-31 20:46:53+00:00,0.0,0.882,0.118,0.2982,POSITIVE,2026-05-31
Russia,Don’t repeat Afghanistan in Iran,Wnd.com,2026-05-31 20:46:53+00:00,0.0,0.882,0.118,0.2982,POSITIVE,2026-05-31
North Korea,"Trump’s nuclear review, and why it’s needed in an uncertain world",Wnd.com,2026-05-31 20:41:58+00:00,0.073,0.767,0.16,0.3818,POSITIVE,2026-05-31
Russia,"Zelenskyy says ""more pressure"" is needed to get Putin to negotiate peace deal",CBS News,2026-05-31 19:00:19+00:00,0.058,0.795,0.147,0.5868,POSITIVE,2026-05-31
Russia,"Full transcript of ""Face the Nation with Margaret Brennan,"" May 31, 2026",CBS News,2026-05-31 18:21:17+00:00,0.0,0.937,0.062,0.296,POSITIVE,2026-05-31
China,Opinion - The peril of transactional deterrence: How the US unwittingly shifted Taiwan’s timeline,The Hill,2026-05-31 17:00:00+00:00,0.129,0.823,0.049,-0.4767,NEGATIVE,2026-05-31
Russia,"Zelenskyy alleges Russia is abducting Ukrainian kids, training them to fight",CBS News,2026-05-31 16:43:25+00:00,0.32,0.68,0.0,-0.9052,NEGATIVE,2026-05-31
Iran,"Trump expands Turkey ambassador's diplomatic role, adding Iraq, Syria amid Middle East tensions",Fox News,2026-05-31 16:35:42+00:00,0.071,0.785,0.144,0.2023,POSITIVE,2026-05-31
Russia,EU mulls changing Russian oil price cap – Bloomberg,RT,2026-05-31 16:03:41+00:00,0.135,0.812,0.053,-0.4939,NEGATIVE,2026-05-31
Russia,"Transcript: Sen. Chris Murphy on ""Face the Nation with Margaret Brennan,"" May 31, 2026",CBS News,2026-05-31 15:38:55+00:00,0.0,1.0,0.0,0.0,NEUTRAL,2026-05-31
Russia,A Baltic Pressure Campaign For President Trump To End Russia’s War,Forbes,2026-05-31 15:16:00+00:00,0.254,0.688,0.058,-0.8555,NEGATIVE,2026-05-31
Iran,Will Trump sideline Israel is order to make a deal with Iran?,Mondoweiss,2026-05-31 14:18:59+00:00,0.234,0.695,0.071,-0.8753,NEGATIVE,2026-05-31
Iran,"Even amidst all the chaos in Iran, an exile feels great hope for the country he left",New York Post,2026-05-31 14:00:00+00:00,0.074,0.785,0.141,0.2846,POSITIVE,2026-05-31
Iran,Iranian official: No agreement until rights guaranteed,Israelnationalnews.com,2026-05-31 12:43:00+00:00,0.152,0.693,0.156,0.0372,NEUTRAL,2026-05-31
Russia,"Full transcript: Ukrainian President Volodymyr Zelenskyy on ""Face the Nation with Margaret Brennan,"" May 31, 2026",CBS News,2026-05-31 12:13:37+00:00,0.0,1.0,0.0,0.0,NEUTRAL,2026-05-31
Iran,Helvetian hypocrisy on Iran,Israelnationalnews.com,2026-05-31 12:03:28+00:00,0.0,1.0,0.0,0.0,NEUTRAL,2026-05-31
Russia,Concerns mount over Belarus as launchpad for new Russian offensive,Hurriyet Daily News,2026-05-31 10:22:48+00:00,0.098,0.868,0.034,-0.5423,NEGATIVE,2026-05-31
Russia,EU Weighs Temporary Freeze on Russia Oil Price Cap Over Iran,Financial Post,2026-05-31 10:09:41+00:00,0.082,0.844,0.074,-0.5267,NEGATIVE,2026-05-31
Belarus,Concerns mount that Belarus could be a launchpad for a new Russian offensive in Ukraine,Abcnews.com,2026-05-31 04:14:13+00:00,0.094,0.906,0.0,-0.4588,NEGATIVE,2026-05-31
China,Debunking 3 Myths From the Trump-Xi Summit,Daily Signal,2026-05-30 18:30:00+00:00,0.123,0.773,0.104,-0.2382,NEGATIVE,2026-05-30
Belarus,Trump defrosts relations with Europe’s last dictator Alexander Lukashenko,NBC News,2026-05-30 09:57:54+00:00,0.07,0.862,0.068,-0.0258,NEUTRAL,2026-05-30
North Korea,"I've spent five decades researching UFOs and speaking to highly confidential sources. This is what I've discovered about the CIA, China and aliens, writes top barrister JONATHAN CAPLAN KC. You may scoff, but the evidence is undeniable",Dailymail.com,2026-05-30 08:59:26+00:00,0.0,0.976,0.024,0.1027,POSITIVE,2026-05-30
North Korea,The war that America won — but didn’t learn from,The Indian Express,2026-05-30 07:53:06+00:00,0.192,0.756,0.052,-0.743,NEGATIVE,2026-05-30
China,"China touts stronger trade ties, says Canada can surpass export target",Daily Sabah,2026-05-30 01:23:12+00:00,0.03,0.899,0.071,0.3612,POSITIVE,2026-05-30
China,"Canada committed to deepening ties with China, Anand tells Chinese minister",National Observer,2026-05-29 23:05:47+00:00,0.0,0.824,0.176,0.8316,POSITIVE,2026-05-29
North Korea,The War Trump Can’t End,The Atlantic,2026-05-29 21:28:29+00:00,0.375,0.625,0.0,-0.802,NEGATIVE,2026-05-29
China,This is the dangerous myth holding America hostage,RT,2026-05-29 20:32:39+00:00,0.162,0.838,0.0,-0.6808,NEGATIVE,2026-05-29
China,Show HN: Simple news aggregator with source bias meters,Unbiasthenews.com,2026-05-29 18:21:24+00:00,0.069,0.931,0.0,-0.1027,NEGATIVE,2026-05-29
Belarus,Show HN: Simple news aggregator with source bias meters,Unbiasthenews.com,2026-05-29 18:21:24+00:00,0.069,0.931,0.0,-0.1027,NEGATIVE,2026-05-29
North Korea,Show HN: Simple news aggregator with source bias meters,Unbiasthenews.com,2026-05-29 18:21:24+00:00,0.069,0.931,0.0,-0.1027,NEGATIVE,2026-05-29
North Korea,South Korea pushes nuclear-powered submarine plan,DW (English),2026-05-29 13:34:00+00:00,0.0,1.0,0.0,0.0,NEUTRAL,2026-05-29
North Korea,Why Does Okinawa Have So Many US Military Bases?,The Diplomat,2026-05-29 13:26:00+00:00,0.0,1.0,0.0,0.0,NEUTRAL,2026-05-29
China,"China and Maritime Chokepoints: Hormuz, Malacca, and Indo-Pacific Vulnerability",The Diplomat,2026-05-29 12:48:00+00:00,0.176,0.735,0.09,-0.2732,NEGATIVE,2026-05-29
China,How the China-US Reset Recasts the Quad,The Diplomat,2026-05-29 12:33:00+00:00,0.0,1.0,0.0,0.0,NEUTRAL,2026-05-29
China,Glass Jaw? The New Economic Fragility Recasting American Power,War on the Rocks,2026-05-29 07:15:07+00:00,0.028,0.927,0.045,0.0129,NEUTRAL,2026-05-29
North Korea,China: Nuclear and Missile Proliferation [Iranian Supplier],Freerepublic.com,2026-05-28 20:22:01+00:00,0.073,0.927,0.0,-0.5267,NEGATIVE,2026-05-28
China,China’s Complex Economic Ties with Niger,Daily Signal,2026-05-28 19:40:00+00:00,0.0,1.0,0.0,0.0,NEUTRAL,2026-05-28
North Korea,US-Iran Peace Deal Won’t Eliminate Security Risks,Forbes,2026-05-28 19:31:36+00:00,0.137,0.572,0.291,0.6908,POSITIVE,2026-05-28
North Korea,North Korea Says It Successfully Tested AI-Guided Missile,Breitbart News,2026-05-28 13:48:50+00:00,0.036,0.757,0.207,0.8591,POSITIVE,2026-05-28
North Korea,The Best History Trivia Quiz Questions to See How Clever You Really Are,Mental Floss,2026-05-28 13:00:01+00:00,0.095,0.73,0.175,0.5106,POSITIVE,2026-05-28
China,Wang Yi Has Discussions with Representatives from Various Sectors in the United States,Globalsecurity.org,2026-05-28 12:00:00+00:00,0.0,0.819,0.181,0.8689,POSITIVE,2026-05-28
China,"India may cheer an Iran deal, but peace in Hormuz won’t refill its emptying economic tank",The Times of India,2026-05-28 04:46:30+00:00,0.122,0.618,0.259,0.9042,POSITIVE,2026-05-28
China,The Strategic Corridor Turning Singapore Into China’s Indispensable Partner,The Diplomat,2026-05-28 03:56:00+00:00,0.0,1.0,0.0,0.0,NEUTRAL,2026-05-28
North Korea,Australia could get US nukes – Russian security chief,RT,2026-05-28 03:09:01+00:00,0.12,0.766,0.115,-0.0516,NEGATIVE,2026-05-28
China,Key AI Perspective – Clarity About Who is and Will Win and Why,Next Big Future,2026-05-27 19:16:16+00:00,0.037,0.782,0.181,0.8271,POSITIVE,2026-05-27
North Korea,The South Korea-US Alliance: What Comes After OPCON?,The Diplomat,2026-05-27 13:40:00+00:00,0.079,0.843,0.078,-0.0072,NEUTRAL,2026-05-27
China,Putin–Xi Summit Was an Exercise in Diplomatic Discipline and Strategic Alignment,Fair Observer,2026-05-27 13:31:38+00:00,0.09,0.83,0.08,0.0864,POSITIVE,2026-05-27
North Korea,"North Korea tests nuclear-capable cruise missiles, and crypto is funding the program",Crypto Briefing,2026-05-27 12:24:15+00:00,0.0,0.891,0.109,0.5423,POSITIVE,2026-05-27
China,Taiwan authorities arrest three on suspicion of smuggling Nvidia chips to China — operation allegedly used Japan as transshipment point before forwarding banned Supermicro servers to Hong Kong,Tom's Hardware UK,2026-05-27 11:10:39+00:00,0.223,0.682,0.095,-0.8225,NEGATIVE,2026-05-27
China,Taiwan’s economy is booming thanks to AI. Not everyone sees the benefits,Al Jazeera English,2026-05-27 07:12:35+00:00,0.0,0.818,0.182,0.5499,POSITIVE,2026-05-27
North Korea,"North Korea says it tested new warheads, technology and navigation in latest launches",Abcnews.com,2026-05-27 06:33:06+00:00,0.066,0.934,0.0,-0.4404,NEGATIVE,2026-05-27
North Korea,North Korea’s AI-powered missile tests signal growing threat to global stability,Naturalnews.com,2026-05-27 06:00:00+00:00,0.071,0.852,0.077,-0.1779,NEGATIVE,2026-05-27
North Korea,"North Korea tests AI-guided missiles and artillery rockets designed for modern warfare, KCNA says",The Times of India,2026-05-27 05:27:48+00:00,0.123,0.843,0.034,-0.6486,NEGATIVE,2026-05-27
North Korea,North Korea tests new missile launch system — report,DW (English),2026-05-27 02:12:00+00:00,0.075,0.925,0.0,-0.4404,NEGATIVE,2026-05-27
North Korea,North Korean leader oversees drill of AI-guided cruise and ballistic missiles,Israelnationalnews.com,2026-05-26 23:15:54+00:00,0.049,0.951,0.0,-0.128,NEGATIVE,2026-05-26
North Korea,North Korea tests new multi-purpose missile launch system: KCNA,Digital Journal,2026-05-26 22:47:20+00:00,0.045,0.955,0.0,-0.296,NEGATIVE,2026-05-26
China,Trump Is Treating Taiwan Like Collateral,Foreign Policy,2026-05-26 21:50:38+00:00,0.0,0.785,0.215,0.6369,POSITIVE,2026-05-26
China,India's fifth spot in global market cap list under threat as Taiwan closes in,Japan Today,2026-05-26 21:38:55+00:00,0.118,0.882,0.0,-0.7783,NEGATIVE,2026-05-26
North Korea,News24 | North Korea tests ballistic missile as tensions with ‘hostile’ South Korea escalate,News24,2026-05-26 18:51:59+00:00,0.061,0.905,0.034,-0.296,NEGATIVE,2026-05-26
China,Xi Ascendant,Foreign Policy,2026-05-26 18:37:13+00:00,0.0,1.0,0.0,0.0,NEUTRAL,2026-05-26
China,Coffee Break: Armed Madhouse – The Cuba Temptation,Nakedcapitalism.com,2026-05-26 18:00:14+00:00,0.16,0.692,0.148,-0.1531,NEGATIVE,2026-05-26
North Korea,"Amid Rumors of a Visit by China’s Leader, North Korea Fires Close-Range Ballistic Missiles",The Diplomat,2026-05-26 14:28:00+00:00,0.0,1.0,0.0,0.0,NEUTRAL,2026-05-26
China,Here’s the defensive stock-market trade that works no matter where bond yields end up,MarketWatch,2026-05-26 12:14:00+00:00,0.056,0.784,0.159,0.6062,POSITIVE,2026-05-26
